,id,class,title,seatNumber,area
401,seat_5040,[free],座位空闲,044,三楼社会科学图书借阅
402,seat_5018,[free],座位空闲,045,三楼社会科学图书借阅
403,seat_5041,[free],座位空闲,046,三楼社会科学图书借阅
404,seat_5019,[free],座位空闲,047,三楼社会科学图书借阅
405,seat_5042,[free],座位空闲,048,三楼社会科学图书借阅
406,seat_5085,[free],座位空闲,049,三楼社会科学图书借阅
407,seat_5108,[free],座位空闲,050,三楼社会科学图书借阅
408,seat_5086,[free],座位空闲,051,三楼社会科学图书借阅
409,seat_5109,[free],座位空闲,052,三楼社会科学图书借阅
410,seat_5087,[free],座位空闲,053,三楼社会科学图书借阅
411,seat_5110,[free],座位空闲,054,三楼社会科学图书借阅
412,seat_5088,[free],座位空闲,055,三楼社会科学图书借阅
413,seat_5111,[free],座位空闲,056,三楼社会科学图书借阅
414,seat_5154,[free],座位空闲,057,三楼社会科学图书借阅
415,seat_5177,[free],座位空闲,058,三楼社会科学图书借阅
416,seat_5155,[free],座位空闲,059,三楼社会科学图书借阅
417,seat_5178,[free],座位空闲,060,三楼社会科学图书借阅
418,seat_5156,[free],座位空闲,061,三楼社会科学图书借阅
419,seat_5179,[free],座位空闲,062,三楼社会科学图书借阅
420,seat_5157,[free],座位空闲,063,三楼社会科学图书借阅
421,seat_5180,[free],座位空闲,064,三楼社会科学图书借阅
422,seat_5228,[free],座位空闲,065,三楼社会科学图书借阅
423,seat_5251,[free],座位空闲,066,三楼社会科学图书借阅
424,seat_5229,[free],座位空闲,067,三楼社会科学图书借阅
425,seat_5252,[free],座位空闲,068,三楼社会科学图书借阅
426,seat_5231,[free],座位空闲,069,三楼社会科学图书借阅
427,seat_5254,[free],座位空闲,070,三楼社会科学图书借阅
428,seat_5232,[free],座位空闲,071,三楼社会科学图书借阅
429,seat_5255,[free],座位空闲,072,三楼社会科学图书借阅
430,seat_5234,[free],座位空闲,073,三楼社会科学图书借阅
431,seat_5257,[free],座位空闲,074,三楼社会科学图书借阅
432,seat_7152,[free],座位空闲,001,四楼图书阅览区西
433,seat_7175,[free],座位空闲,002,四楼图书阅览区西
434,seat_7198,[free],座位空闲,003,四楼图书阅览区西
435,seat_7221,[free],座位空闲,004,四楼图书阅览区西
436,seat_7222,[free],座位空闲,005,四楼图书阅览区西
437,seat_7199,[free],座位空闲,006,四楼图书阅览区西
438,seat_7176,[free],座位空闲,007,四楼图书阅览区西
439,seat_7153,[free],座位空闲,008,四楼图书阅览区西
440,seat_7155,[free],座位空闲,009,四楼图书阅览区西
441,seat_7178,[free],座位空闲,010,四楼图书阅览区西
442,seat_7201,[free],座位空闲,011,四楼图书阅览区西
443,seat_7224,[free],座位空闲,012,四楼图书阅览区西
444,seat_7225,[free],座位空闲,013,四楼图书阅览区西
445,seat_7202,[free],座位空闲,014,四楼图书阅览区西
446,seat_7179,[free],座位空闲,015,四楼图书阅览区西
447,seat_7156,[free],座位空闲,016,四楼图书阅览区西
