代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
600186.SH	2014-06-14	涉嫌违反证券法律法规	吴玉民	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	李先进	公司高管	公开处罚	中国证券监督管理委员会	30	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	高政	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	杨立	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	付勇	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	于杰	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	郑献锋	公司高管	公开处罚	中国证券监督管理委员会	30	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	薛冲	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	牧峻涛	公司高管	公开处罚	中国证券监督管理委员会	10	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	申宏伟	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600633.SH	2014-06-13	信息披露虚假或严重误导性陈述,未及时披露公司重大事件	傅建中	公司高管	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》,《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	文化、体育和娱乐业	出版发行
600633.SH	2014-06-13	未及时披露公司重大事件,信息披露虚假或严重误导性陈述	林海文	公司其它关联方	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》,《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	文化、体育和娱乐业	出版发行
600633.SH	2014-06-13	未及时披露公司重大事件,信息披露虚假或严重误导性陈述	新洲集团有限公司	公司股东	公开谴责	上海证券交易所		《上海证券交易所股票上市规则》,《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	文化、体育和娱乐业	出版发行
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	刘洪	公司高管	公开批评	中国证券监督管理委员会		《中华人民共和国证券法》	是	制造业	化学制剂
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	张强	公司高管	公开批评	中国证券监督管理委员会		《中华人民共和国证券法》	是	制造业	化学制剂
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	刘思川	公司高管	公开批评	中国证券监督管理委员会		《中华人民共和国证券法》	是	制造业	化学制剂
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	赵力宾	公司高管	公开批评	中国证券监督管理委员会		《中华人民共和国证券法》	是	制造业	化学制剂
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	高冬	公司高管	公开批评	中国证券监督管理委员会		《中华人民共和国证券法》	是	制造业	化学制剂
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	熊鹰	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	是	制造业	化学制剂
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	四川科伦药业股份有限公司	公司本身	公开处罚	中国证券监督管理委员会	30	《中华人民共和国证券法》	是	制造业	化学制剂
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	罗孝银	公司高管	公开批评	中国证券监督管理委员会		《中华人民共和国证券法》	是	制造业	化学制剂
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	潘慧	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	是	制造业	化学制剂
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	程志鹏	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	是	制造业	化学制剂
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	冯伟	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	是	制造业	化学制剂
002422.SZ	2014-06-05	涉嫌违反证券法律法规,信息披露虚假或严重误导性陈述	刘革新	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	是	制造业	化学制剂
600671.SH	2014-05-31	未及时披露公司重大事件,未依法履行其他职责,未按时披露定期报告	徐欢晓	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	制造业	中药生产
