,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum,mean_volume,std_volume,zscore_volume,signal
2015-07-30,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,54091778.18,44310671.9827,-1.22073928829,0
2015-07-31,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,53018021.02,44966304.0554,-1.17906112441,0
2015-08-03,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,51413533.08,45404859.288,-1.13233547876,0
2015-08-04,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,49531392.1,45549245.2613,-1.08742508939,0
2015-08-05,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,47499795.64,45445617.6207,-1.04520079442,0
2015-08-06,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,44895288.48,44325660.0779,-1.01285098521,0
2015-08-07,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,42719563.3,43792247.1791,-0.975505164768,0
2015-08-10,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,41099108.64,43845000.4948,-0.937372748916,0
2015-08-11,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,39530666.42,43885274.6041,-0.900772907919,0
2015-08-12,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,37963550.58,43869574.7004,-0.865373116545,0
2015-08-13,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,36307895.26,43705379.3472,-0.830742023117,0
2015-08-14,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,34611840.12,43429635.913,-0.796963626159,0
2015-08-17,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,32587267.46,42612580.3407,-0.76473349418,0
2015-08-18,8.6634,8.6634,8.6634,8.6634,8.6634,0.2899,4317991.0,50736394.0,992.0,30869115.6,41968195.5209,-0.632648706251,0
