sid	unlock_date	total_equity	ratio_to_total_equity	type	after_ratio_to_total_equity	before_ratio_to_total_equity	after_total_number	before_total_number	cumsum_unlock_times
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9
sid	date	c	c	d	c	c	c	c	d
000591.SZ	20070201	13077.67	15.94	股权分置对价股份	45.21	29.27	5911.94	3828	1
000677.SZ	20070201	41134.9	3.57	股权分置限售股份	52.85	49.27	21737.87	20267.92	3
002033.SZ	20070202	9932.3	1.92	股权分置限售股份	46.54	44.62	4622.52	4431.8	3
600617.SS	20070205	16719.48	1.61	股权分置对价股份	7	5.38	1170	900	1
601166.SS	20070205	500000	9.02	首发一般股份	9.02		45075	0	1
000652.SZ	20070205	105398.13	2.11	股权分置限售股份	66.3	64.19	69881.44	67656.91	3
600463.SS	20070206	14000	2.9	股权分置限售股份	41.75	38.86	5845.46	5440	2
600159.SS	20070206	30500.16	10	股权分置限售股份	44.63	34.63	13610.94	10560.92	2
000718.SZ	20070206	39973.91	1.11	股权分置限售股份	48.3	47.18	19305.65	18860.4	1
000876.SZ	20070207	63058.45	5.57	股权分置限售股份	48.36	42.79	30494.9	26981.87	2
000837.SZ	20070207	23247.84	2.86	股权分置限售股份	73.23	70.37	17024.28	16359.05	2
600387.SS	20070208	19800	10.63	内部职工股	50.02	39.39	9904.05	7800	2
600819.SS	20070208	73125.01	1.03	股权分置限售股份	9.69	8.65	7082.43	6328.14	2
600612.SS	20070208	25177.94	7.67	股权分置限售股份	23.27	15.6	5858.07	3926.87	2
000708.SZ	20070208	44940.85	0.25	股权分置限售股份	37.42	37.17	16817.73	16703.73	1
000099.SZ	20070208	51360	5.24	股权分置限售股份	53.35	48.11	27402.79	24710.4	2
002112.SZ	20070208	8000	20	首发一般股份	20		1600	0	1
002113.SZ	20070208	7400	23.78	首发一般股份	23.78		1760	0	1
600985.SS	20070209	9000	2.06	股权分置限售股份	61.26	59.2	5513.84	5328	2
600405.SS	20070209	10434.36	44.66	股权分置限售股份	92.27	47.61	9627.75	4968	2
600851.SS	20070209	120705.67	4.24	股权分置限售股份	44.41	40.17	53606.29	48491.24	2
600266.SS	20070209	74100	4.05	股权分置限售股份	32.19	28.14	23850	20850	2
600234.SS	20070209	14460.42	20.22	股权分置对价股份	49.96	29.74	7224	4300	1
600325.SS	20070212	26000	30.96	内部职工股	69.96	39	18188.77	10140	2
600791.SS	20070212	12870	19.2	股权分置限售股份	62.53	43.33	8047.74	5577	2
600100.SS	20070212	57461.23	1.36	股权分置限售股份	66.94	65.57	38462.53	37678.21	2
600487.SS	20070212	16612	1.31	股权分置限售股份	42.08	40.76	6989.54	6771.76	4
000779.SZ	20070212	18644.1	27.29	股权分置对价股份	81.88	54.6	15266.24	10179	1
000032.SZ	20070212	19405.36	10.53	股权分置限售股份	58.95	48.42	11439.54	9396.82	2
600650.SS	20070213	55161.01	20.54	股权分置限售股份	30.78	10.23	16975.85	5645.37	2
600879.SS	20070213	49138.39	4.52	股权分置限售股份	74.85	70.33	36780.29	34559.59	2
600373.SS	20070213	12500	6.21	股权分置限售股份	54.48	48.28	6810.55	6034.5	2
600226.SS	20070213	27036.62	13.21	股权分置限售股份	60.06	46.85	16238.65	12667.2	2
600822.SS	20070213	25272.03	0.95	股权分置限售股份	22.95	22.01	5800.85	5561.93	3
600701.SS	20070213	49878.19	35.02	股权分置对价股份	70.05	35.02	34938.19	17469.09	1
600880.SS	20070213	18225.21	0.98	股权分置限售股份	62.82	61.84	11449.66	11270.28	3
000912.SZ	20070213	58500	5	股权分置限售股份	45.67	40.67	26714.63	23789.63	2
600592.SS	20070214	15000	1.42	股权分置限售股份	44.75	43.33	6712.5	6500	2
