代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	于新华	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	航空
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	庄秀文	公司高管	公开处罚	中国证券监督管理委员会	20	《中华人民共和国证券法》	否	房地产业	航空
600069.SH	2004-07-27	信息披露虚假或严重误导性陈述	王长河	公司高管	公开处罚	中国证券监督管理委员会	0	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
600069.SH	2004-07-27	信息披露虚假或严重误导性陈述	周正国	公司高管	公开处罚	中国证券监督管理委员会	0	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
600069.SH	2004-07-27	信息披露虚假或严重误导性陈述	韩国忠	公司高管	公开处罚	中国证券监督管理委员会	10	《股票发行与交易管理暂行条例》,《中华人民共和证券法》	是	制造业	造纸
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	杜晓庆	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	房地产业	航空
600069.SH	2004-07-27	信息披露虚假或严重误导性陈述	张松枝	公司高管	公开处罚	中国证券监督管理委员会	0	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	丁玉粹	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	房地产业	航空
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	钱汉清	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	房地产业	航空
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	宋小冬	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	航空
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	徐鲁萍	公司高管	公开处罚	中国证券监督管理委员会	25	《中华人民共和国证券法》	否	房地产业	航空
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	孙建国	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	房地产业	航空
600069.SH	2004-07-27	信息披露虚假或严重误导性陈述	李兴中	公司高管	公开处罚	中国证券监督管理委员会	0	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	汤春平	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	航空
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	沈培熊	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	房地产业	航空
000799.SZ	2004-07-27	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	杨波	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	白酒
000799.SZ	2004-07-27	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	樊耀传	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	制造业	白酒
