代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11
sid	date	d	d	d	d	d	c	d	d	d	d
600705.SS	20090407	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	刘彦	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	金融业	其他非银行金融
600705.SS	20090407	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	刘桦	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	金融业	其他非银行金融
000545.SZ	20090413	未及时披露公司重大事项,信息披露虚假或严重误导性陈述			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》	否	制造业	其他化学原料
600764.SS	20090414	信息披露虚假或严重误导性陈述,未及时披露公司重大事项			公开处罚	中国证券监督管理委员会	40	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
600301.SS	20090414	涉嫌违反证券法律法规	南宁化工股份有限公司	公司本身	立案调查				是	制造业	氯碱
002145.SZ	20090416	未依法履行其他职责	程文水	公司高管	公开处罚	中国证券监督管理委员会	300	《中华人民共和国证券法》	否	制造业	其他化学制品
600671.SS	20090430	涉嫌违反证券法律法规	杭州天目山药业股份有限公司	公司本身	立案调查	中国证券监督管理委员会			否	制造业	中药生产
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	邱铜	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	杨国成	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	陈军	公司高管	公开处罚	中国证券监督管理委员会	10	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	陈国强	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	邓万凰	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	杨涛	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	姜伟民	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
000605.SZ	20090505	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	何平虹	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	水务
