,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum
20160225,31.3,31.74,28.4,28.42,29.632,2.9832,2502163.0,74144099.0,4585.0
20160226,28.56,29.49,27.64,28.69,28.5686,2.2295,1869972.0,53422565.0,3247.0
20160229,28.4,28.4,26.2,27.16,26.9735,2.3558,1975953.0,53298408.0,2462.0
20160301,27.6,28.19,26.85,28.1,27.4633,1.56,1308484.0,35935250.0,2221.0
20160302,28.3,29.68,27.51,29.45,28.8361,2.1464,1800313.0,51913965.0,3198.0
20160303,29.5,30.8,29.31,29.86,30.1276,2.2728,1906291.0,57431948.0,2994.0
20160304,29.75,30.25,28.0,28.52,28.9906,2.0557,1724197.0,49985486.0,3089.0
20160307,28.88,29.75,28.88,29.22,29.3656,1.7269,1448468.0,42535118.0,2492.0
20160308,29.2,29.48,28.02,29.25,28.5506,1.7275,1448978.0,41369151.0,2086.0
20160309,28.39,28.99,28.11,28.83,28.6914,1.2751,1069464.0,30684451.0,1626.0
20160310,28.95,29.2,28.5,28.54,28.7846,0.998,837083.0,24095130.0,1167.0
20160311,28.19,29.39,28.02,28.95,28.6837,1.1654,977474.0,28037553.0,2059.0
20160314,29.58,30.55,29.04,30.07,29.9154,3.7453,3141359.0,93975117.0,2857.0
