股票,申万一级行业
601998.SH,138.000000
601999.SH,14.000000
000001.SZ,138.000000
000002.SZ,59.000000
000004.SZ,59.000000
000005.SZ,59.000000
000006.SZ,59.000000
000007.SZ,59.000000
000008.SZ,109.000000
000009.SZ,59.000000
000010.SZ,109.000000
000011.SZ,59.000000
000012.SZ,56.000000
000014.SZ,59.000000
000016.SZ,53.000000
000017.SZ,7.000000
000018.SZ,108.000000
000019.SZ,149.000000
000020.SZ,94.000000
000021.SZ,15.000000
000022.SZ,9.000000
000023.SZ,56.000000
000024.SZ,59.000000
000025.SZ,7.000000
000026.SZ,125.000000
000027.SZ,20.000000
000028.SZ,42.000000
000029.SZ,59.000000
000030.SZ,125.000000
000031.SZ,59.000000
000032.SZ,15.000000
000033.SZ,151.000000
000034.SZ,30.000000
000035.SZ,15.000000
000036.SZ,37.000000
000037.SZ,20.000000
000039.SZ,157.000000
000040.SZ,109.000000
000042.SZ,59.000000
000043.SZ,59.000000
000045.SZ,108.000000
000046.SZ,59.000000
000048.SZ,30.000000
000049.SZ,37.000000
000050.SZ,94.000000
000055.SZ,109.000000
000056.SZ,45.000000
000058.SZ,94.000000
000059.SZ,37.000000
000060.SZ,67.000000
000061.SZ,30.000000
000062.SZ,53.000000
000063.SZ,15.000000
000065.SZ,56.000000
000066.SZ,15.000000
000068.SZ,94.000000
000069.SZ,151.000000
000070.SZ,94.000000
000078.SZ,42.000000
000088.SZ,9.000000
000089.SZ,9.000000
000090.SZ,59.000000
000096.SZ,37.000000
000099.SZ,9.000000
000100.SZ,53.000000
000150.SZ,59.000000
000151.SZ,109.000000
000153.SZ,42.000000
000155.SZ,37.000000
000157.SZ,73.000000
000158.SZ,108.000000
000159.SZ,133.000000
000301.SZ,108.000000
000338.SZ,7.000000
000400.SZ,73.000000
000401.SZ,56.000000
000402.SZ,59.000000
000404.SZ,53.000000
000407.SZ,37.000000
000408.SZ,45.000000
000409.SZ,15.000000
000410.SZ,73.000000
000411.SZ,42.000000
000413.SZ,94.000000
000415.SZ,56.000000
000416.SZ,42.000000
000417.SZ,45.000000
000418.SZ,53.000000
000419.SZ,45.000000
000420.SZ,37.000000
000421.SZ,9.000000
000422.SZ,37.000000
000423.SZ,42.000000
000425.SZ,73.000000
000426.SZ,20.000000
000428.SZ,151.000000
000429.SZ,9.000000
000430.SZ,151.000000
000488.SZ,125.000000
000498.SZ,37.000000
000501.SZ,45.000000
000502.SZ,59.000000
000503.SZ,14.000000
000504.SZ,14.000000
000505.SZ,59.000000
000507.SZ,109.000000
000509.SZ,109.000000
000510.SZ,37.000000
000511.SZ,59.000000
000513.SZ,42.000000
000514.SZ,59.000000
000515.SZ,37.000000
000516.SZ,45.000000
000518.SZ,108.000000
000519.SZ,73.000000
000520.SZ,9.000000
000521.SZ,53.000000
000522.SZ,42.000000
000523.SZ,37.000000
000524.SZ,151.000000
000525.SZ,37.000000
000526.SZ,59.000000
000527.SZ,53.000000
000528.SZ,73.000000
000530.SZ,73.000000
000531.SZ,20.000000
000532.SZ,94.000000
000533.SZ,73.000000
000534.SZ,20.000000
000536.SZ,73.000000
000537.SZ,59.000000
000538.SZ,42.000000
000539.SZ,20.000000
000540.SZ,59.000000
000541.SZ,94.000000
000543.SZ,20.000000
000544.SZ,20.000000
000545.SZ,42.000000
000546.SZ,59.000000
000547.SZ,109.000000
000548.SZ,9.000000
000550.SZ,7.000000
000551.SZ,20.000000
000552.SZ,133.000000
000553.SZ,37.000000
000554.SZ,37.000000
000555.SZ,53.000000
000557.SZ,149.000000
000558.SZ,59.000000
000559.SZ,7.000000
000560.SZ,45.000000
000561.SZ,53.000000
000562.SZ,138.000000
000563.SZ,138.000000
000564.SZ,45.000000
000565.SZ,37.000000
000566.SZ,42.000000
000567.SZ,59.000000
000568.SZ,149.000000
000569.SZ,157.000000
000570.SZ,73.000000
000571.SZ,7.000000
000572.SZ,7.000000
000573.SZ,59.000000
000576.SZ,149.000000
000578.SZ,109.000000
000581.SZ,73.000000
000582.SZ,9.000000
000584.SZ,37.000000
000585.SZ,73.000000
000586.SZ,15.000000
000587.SZ,125.000000
000589.SZ,37.000000
000590.SZ,42.000000
000591.SZ,42.000000
000593.SZ,109.000000
000594.SZ,9.000000
000595.SZ,73.000000
000596.SZ,149.000000
000597.SZ,42.000000
000598.SZ,37.000000
000599.SZ,37.000000
000600.SZ,20.000000
000601.SZ,20.000000
000602.SZ,67.000000
000603.SZ,42.000000
000605.SZ,42.000000
000606.SZ,37.000000
000607.SZ,42.000000
000608.SZ,59.000000
000609.SZ,59.000000
000610.SZ,151.000000
000611.SZ,73.000000
000612.SZ,67.000000
000613.SZ,151.000000
000615.SZ,37.000000
000616.SZ,59.000000
000617.SZ,73.000000
000619.SZ,56.000000
000623.SZ,138.000000
000625.SZ,7.000000
000626.SZ,30.000000
000627.SZ,42.000000
000628.SZ,59.000000
000629.SZ,157.000000
000630.SZ,67.000000
000632.SZ,109.000000
000633.SZ,73.000000
000635.SZ,37.000000
000636.SZ,94.000000
000637.SZ,37.000000
000639.SZ,56.000000
000650.SZ,42.000000
000651.SZ,53.000000
000652.SZ,109.000000
000655.SZ,133.000000
000656.SZ,59.000000
000657.SZ,67.000000
000659.SZ,125.000000
000661.SZ,42.000000
000662.SZ,37.000000
000663.SZ,30.000000
000665.SZ,37.000000
000666.SZ,73.000000
000667.SZ,59.000000
000668.SZ,59.000000
000669.SZ,42.000000
000671.SZ,59.000000
000673.SZ,56.000000
000676.SZ,73.000000
000677.SZ,37.000000
000678.SZ,7.000000
000679.SZ,45.000000
000680.SZ,73.000000
000681.SZ,108.000000
000682.SZ,14.000000
000683.SZ,37.000000
000685.SZ,45.000000
000686.SZ,138.000000
000687.SZ,37.000000
000690.SZ,20.000000
000691.SZ,109.000000
000692.SZ,20.000000
000695.SZ,20.000000
000697.SZ,94.000000
000698.SZ,37.000000
000700.SZ,7.000000
000701.SZ,109.000000
000702.SZ,30.000000
000703.SZ,109.000000
000705.SZ,42.000000
000707.SZ,37.000000
000708.SZ,157.000000
000709.SZ,157.000000
000710.SZ,7.000000
000711.SZ,59.000000
000712.SZ,59.000000
000713.SZ,30.000000
000715.SZ,45.000000
000716.SZ,149.000000
000717.SZ,157.000000
000718.SZ,59.000000
000720.SZ,20.000000
000721.SZ,151.000000
000722.SZ,94.000000
000723.SZ,133.000000
000725.SZ,94.000000
000726.SZ,108.000000
000727.SZ,94.000000
000728.SZ,138.000000
000729.SZ,149.000000
000731.SZ,37.000000
000733.SZ,94.000000
000735.SZ,30.000000
000736.SZ,59.000000
000737.SZ,37.000000
000738.SZ,7.000000
000739.SZ,42.000000
000748.SZ,15.000000
000750.SZ,138.000000
000751.SZ,67.000000
000752.SZ,149.000000
000753.SZ,9.000000
000755.SZ,37.000000
000756.SZ,42.000000
000758.SZ,67.000000
000759.SZ,45.000000
000760.SZ,59.000000
000761.SZ,157.000000
000762.SZ,133.000000
000766.SZ,42.000000
000767.SZ,20.000000
000768.SZ,7.000000
000776.SZ,9.000000
000777.SZ,73.000000
000778.SZ,157.000000
000779.SZ,108.000000
000780.SZ,133.000000
000782.SZ,37.000000
000783.SZ,138.000000
000785.SZ,45.000000
000786.SZ,56.000000
000788.SZ,42.000000
000789.SZ,56.000000
000790.SZ,42.000000
000791.SZ,37.000000
000792.SZ,37.000000
000793.SZ,14.000000
000795.SZ,67.000000
000796.SZ,45.000000
000797.SZ,59.000000
000798.SZ,30.000000
000799.SZ,149.000000
000800.SZ,7.000000
000801.SZ,53.000000
000802.SZ,151.000000
000803.SZ,109.000000
000806.SZ,94.000000
000807.SZ,67.000000
000809.SZ,42.000000
000810.SZ,108.000000
000811.SZ,73.000000
000812.SZ,125.000000
000813.SZ,108.000000
000815.SZ,125.000000
000816.SZ,73.000000
000818.SZ,37.000000
000819.SZ,37.000000
000820.SZ,125.000000
000821.SZ,73.000000
000822.SZ,37.000000
000823.SZ,94.000000
000825.SZ,157.000000
000826.SZ,20.000000
000828.SZ,9.000000
000829.SZ,45.000000
000830.SZ,37.000000
000831.SZ,67.000000
000833.SZ,149.000000
000835.SZ,133.000000
000836.SZ,59.000000
000837.SZ,73.000000
000838.SZ,37.000000
000839.SZ,14.000000
000848.SZ,149.000000
000850.SZ,108.000000
000851.SZ,15.000000
000852.SZ,73.000000
000856.SZ,56.000000
000858.SZ,149.000000
000859.SZ,37.000000
000860.SZ,30.000000
000861.SZ,37.000000
000862.SZ,73.000000
000868.SZ,7.000000
000869.SZ,149.000000
000875.SZ,20.000000
000876.SZ,30.000000
000877.SZ,56.000000
000878.SZ,67.000000
000880.SZ,73.000000
000881.SZ,109.000000
000882.SZ,45.000000
000883.SZ,7.000000
000885.SZ,56.000000
000886.SZ,9.000000
000887.SZ,7.000000
000888.SZ,151.000000
000889.SZ,45.000000
000890.SZ,157.000000
000892.SZ,14.000000
000893.SZ,53.000000
000895.SZ,149.000000
000897.SZ,59.000000
000898.SZ,157.000000
000899.SZ,20.000000
000900.SZ,9.000000
000901.SZ,73.000000
000902.SZ,108.000000
000903.SZ,73.000000
000905.SZ,9.000000
000906.SZ,109.000000
000908.SZ,67.000000
000909.SZ,53.000000
000910.SZ,125.000000
000911.SZ,149.000000
000912.SZ,37.000000
000913.SZ,7.000000
000915.SZ,109.000000
000916.SZ,9.000000
000917.SZ,14.000000
000918.SZ,30.000000
000919.SZ,42.000000
